id,freq,grammar,sv,wclass,example
4984,991,,krånglig,adjective,
4985,990,en,förpackning,noun-en,
4986,990,att,överskrida,verb,
4987,989,att,aktivera,verb,
4988,989,en,flytt,noun-en,
4989,989,,vida,adverb,
4990,989,en,älg,noun-en,
4991,988,en,förstörelse,noun-en,
4992,,,elegant,adjective,
4993,987,en,avgång,noun-en,
4994,986,att,montera,verb,
4995,986,en,polisman,noun-en,
4996,986,,preliminär,adjective,
4997,986,,primitiv,adjective,
4998,985,en,avrättning,noun-en,
4999,985,,nedåt,adverb,
5000,985,,real,adjective,
5001,,,överväldigande,adjective,
5002,984,ett,gym,noun-ett,
5003,,en,federation,noun-en,
5004,983,en,mötesplats,noun-en,
5005,983,,öster,noun,
5006,982,ett,beslutsfattande,noun-ett,
5007,982,,psykiatri,noun-en,
5008,981,en,handläggning,noun-en,
5009,981,att,utbryta,verb,
5010,980,,fientlighet,noun-en,
5011,980,en,inredning,noun-en,
5012,980,ett,troll,noun-ett,
5013,979,,identisk,adjective,
5014,979,ett,riksförbund,noun-ett,
5015,979,en,sal,noun-en,
5016,978,,förtjust,adverb,
5017,978,en,generalsekreterare,noun-en,
5018,978,att,genomsyra,verb,
5019,978,en,öppning,noun-en,
5020,977,,obefintlig,adjective,
5021,977,,tillförlitlig,adjective,
5022,975,en,näringsminister,noun-en,
5023,975,,protein,noun-ett,
5024,974,en,applåd,noun-en,
5025,974,en,ersättare,noun-en,
5026,974,,onödigt,adverb,
5027,974,att,tjänstgöra,verb,
5028,973,att,fastslå,verb,
5029,973,,slut,adjective,
5030,973,,solig,adjective,
5031,972,en,gåta,noun-en,
5032,972,,härlighet,noun-en,
5033,972,att,återuppta,verb,
5034,971,att,fördriva,verb,
5035,971,en,hertig,noun-en,
5036,971,,påsk,noun-en,
5037,970,ett,komplement,noun-ett,
5038,970,ett,modersmål,noun-ett,
5039,969,,beröm,noun,e.g. få/ge beröm
5040,969,ett,frö,noun-ett,
5041,969,en,installation,noun-en,
5042,968,att,släcka,verb,
5043,967,,odds,noun-ett,
5044,967,ett,årsmöte,noun-ett,
5045,966,,arm,adjective,
5046,966,en,kommunstyrelse,noun-en,
5047,966,,mångkulturell,adjective,
5048,966,,varaktig,adjective,
5049,,ett,horn,noun-ett,
5050,965,en,sedel,noun-en,
5051,965,en,valsedel,noun-en,
5052,964,en,merit,noun-en,
5053,963,ett,skinn,noun-ett,
5054,962,ett,badrum,noun-ett,
5055,962,att,inbegripa,verb,
5056,962,ett,sovrum,noun-ett,
5057,962,att,uppehålla,verb,
5058,,,opassande,adjective,
5059,961,en,hårddisk,noun-en,
5060,961,en,insamling,noun-en,
5061,961,,oändligt,adverb,
5062,961,en,påminnelse,noun-en,
5063,960,,marin,adjective,
5064,960,en,opera,noun-en,
5065,959,en,aktieägare,noun-en,
5066,959,en,panel,noun-en,
5067,959,,på något vis,adverb,
5068,958,,inflytelserik,adjective,
5069,958,en,polismyndighet,noun-en,
5070,958,en,vetenskapsman,noun-en,
5071,,,begåvad,adjective,
5072,957,en,miljöfråga,noun-en,
5073,957,,miste,particle,e.g. gå miste om
5074,957,att,nicka,verb,
5075,957,,övervägande,adjective,
5076,956,en,förtjänst,noun-en,
5077,956,att,inge,verb,
5078,956,,stolt,adverb,
5079,956,en,undergång,noun-en,
5080,955,,ambitiös,adjective,
5081,955,,hebreisk,adjective,
5082,955,en,växelkurs,noun-en,
5083,954,,möda,noun-en,
5084,,,anklagad,adjective,
5085,953,ett,klassrum,noun-ett,
5086,953,,kontinuerlig,adjective,
5087,953,,si,adverb,"e.g. si och så, si så där (el. sisådär)"
5088,952,en,entusiasm,noun-en,
5089,952,,respons,noun-en,
5090,951,ett,monster,noun-ett,
5091,951,ett,rån,noun-ett,
5092,951,,självkänsla,noun-en,
5093,950,en,sammanhållning,noun-en,
5094,949,att,sammanfalla,verb,
5095,948,,bara,subj,
5096,948,,intensivt,adverb,
5097,948,,optimal,adjective,
5098,948,,suverän,adjective,
5099,948,,upp och ner,adverb,
5100,947,ett,apotek,noun-ett,
5101,947,att,hälla,verb,
5102,947,att,käka,verb,(vardagligt)
5103,946,ett,fäste,noun-ett,
5104,946,,hastigt,adverb,
5105,946,,livslång,adjective,
5106,946,att,svälta,verb,
5107,946,att,välta,verb,
5108,945,en,arbetsgivaravgift,noun-en,
5109,945,en,demon,noun-en,
5110,945,,fastighetsskatt,noun-en,
5111,945,en,korridor,noun-en,
5112,945,en,stridsvagn,noun-en,
5113,945,,tillvara,particle,
5114,945,ett,vittnesmål,noun-ett,
5115,944,,ansvarsfull,adjective,
5116,944,ett,bagage,noun-ett,
5117,944,,evigt,adverb,
5118,944,ett,koldioxidutsläpp,noun-ett,
5119,943,att,fängsla,verb,
5120,943,en,utflykt,noun-en,
5121,942,att,gratulera,verb,
5122,942,en,studerande,noun-en,
5123,942,ett,upprop,noun-ett,
5124,942,en,utgåva,noun-en,
5125,942,att,vädja,verb,
5126,941,,finländsk,adjective,
5127,941,en,morfar,noun-en,
5128,941,en,norrman,noun-en,
5129,941,,skandinavisk,adjective,
5130,941,en,tumme,noun-en,
5131,941,ett,utslag,noun-ett,
5132,940,en,familjemedlem,noun-en,
5133,940,att,lasta,verb,
5134,940,en,ledarsida,noun-en,
5135,940,,skräp,noun-ett,
5136,940,att,smitta,verb,
5137,939,att,påtala,verb,
5138,939,,stort,adverb,
5139,938,en,levnadsstandard,noun-en,
5140,938,ett,palats,noun-ett,
5141,938,,tyska,noun-en,
5142,937,en,opinionsundersökning,noun-en,
5143,937,,vetenskapligt,adverb,
5144,,att,revidera,verb,
5145,,,lovande,adjective,
5146,935,en,orolighet,noun-en,
5147,933,en,brud,noun-en,
5148,933,ett,tillvägagångssätt,noun-ett,
5149,932,att,klistra,verb,
5150,932,,trams,noun-ett,
5151,931,,isär,particle,
5152,931,,kärleksfull,adjective,
5153,930,,usch,interj,
5154,929,ett,avslöjande,noun-ett,
5155,929,att,beskatta,verb,
5156,929,ett,skrivbord,noun-ett,
5157,929,,utrikespolitisk,adjective,
5158,929,att,vakta,verb,
5159,928,en,arbetskamrat,noun-en,
5160,928,,idiotisk,adjective,
5161,928,,spontant,adverb,
5162,928,en,tillställning,noun-en,
5163,928,,tvärs,adverb,
5164,927,ett,budgetår,noun-ett,
5165,927,att,förtrycka,verb,
5166,927,,passande,adjective,
5167,926,en,atom,noun-en,
5168,926,att,avta,verb,
5169,926,ett,chips,noun-ett,
5170,926,en,markering,noun-en,
5171,926,,tillåten,adjective,
5172,926,en,öken,noun-en,
5173,,,sammanhängande,adjective,
5174,925,en,fläck,noun-en,
5175,925,,retorisk,adjective,
5176,924,en,borgmästare,noun-en,
5177,924,en,förlorare,noun-en,
5178,924,en,melodi,noun-en,
5179,924,en,senat,noun-en,
5180,924,,skarpt,adverb,
5181,,en,sjöman,noun-en,
5182,923,att,bläddra,verb,
5183,923,en,bärare,noun-en,
5184,923,en,gissning,noun-en,
5185,923,,i onödan,adverb,
5186,923,ett,stryk,noun-ett,
5187,923,,strålning,noun-en,
5188,923,,terräng,noun-en,
5189,923,att,väva,verb,
5190,922,,skönt,adverb,
5191,922,att,spricka,verb,
5192,922,,äldreomsorg,noun-en,
5193,922,att,övertala,verb,
5194,921,,känslomässig,adjective,
5195,920,,feber,noun-en,
5196,920,att,härja,verb,
5197,920,en,spelregel,noun-en,
5198,,,bekymrad,adjective,
5199,919,att,annonsera,verb,
5200,919,en,belastning,noun-en,
5201,919,en,flock,noun-en,
5202,918,en,inspektion,noun-en,
5203,918,en,laddning,noun-en,
5204,918,en,sammanslutning,noun-en,
5205,918,ett,svek,noun-ett,
5206,917,,aska,noun-en,
5207,917,att,bekymra,verb,
5208,917,en,finanspolitik,noun-en,
5209,917,,godtycklig,adjective,
5210,916,en,bluff,noun-en,
5211,916,att,distribuera,verb,
5212,916,,from,adjective,
5213,916,ett,förlopp,noun-ett,
5214,916,en,nedläggning,noun-en,
5215,915,att,bestrida,verb,
5216,915,en,huvudman,noun-en,
5217,915,,ikapp,particle,
5218,914,,empati,noun-en,
5219,,,sammansatt,adjective,
5220,913,,avlyssning,noun-en,
5221,913,,dessförinnan,adverb,
5222,913,,golf,noun-en,
5223,913,,rasande,adjective,
5224,913,,reaktionär,adjective,
5225,912,att,vifta,verb,
5226,912,ett,överklagande,noun-ett,
5227,911,,anor,noun,
5228,910,en,dominans,noun-en,
5229,910,en,lax,noun-en,
5230,910,en,organisering,noun-en,
5231,909,ett,gift,noun-ett,
5232,,,prostituerad,adjective,
5233,,att,återupprätta,verb,
5234,908,att,hacka,verb,
5235,908,,medial,adjective,
5236,907,en,entré,noun-en,
5237,907,en,farbror,noun-en,
5238,907,,livlig,adjective,
5239,907,,packning,noun-en,
5240,906,en,essä,noun-en,
5241,906,,magi,noun-en,
5242,906,,självständigt,adverb,
5243,906,,trötthet,noun-en,
5244,905,,konsekvent,adjective,
5245,905,,rådgivning,noun-en,
5246,905,att,smälla,verb,
5247,904,,journalistisk,adjective,
5248,904,en,officerare,noun-en,
5249,904,en,tjuv,noun-en,
5250,904,en,vidd,noun-en,
5251,903,en,belysning,noun-en,
5252,903,att,hänföra,verb,
5253,903,en,nationalstat,noun-en,
5254,903,en,nedladdning,noun-en,
5255,903,,växthuseffekt,noun-en,
5256,902,en,grotta,noun-en,
5257,902,,matematisk,adjective,
5258,902,,ovanpå,prep,
5259,902,en,pärla,noun-en,
5260,902,,värk,noun-en,
5261,901,en,halvlek,noun-en,
5262,901,,påtagligt,adverb,
5263,900,,benägen,adjective,
5264,899,att,recensera,verb,
5265,898,att,diskriminera,verb,
5266,898,en,pilot,noun-en,
5267,897,en,eftertanke,noun-en,
5268,897,,fiktiv,adjective,
5269,897,,närliggande,adjective,
5270,897,,pålitlig,adjective,
5271,896,en,korv,noun-en,
5272,896,att,reformera,verb,
5273,,en,pop,noun-en,
5274,895,att,fördubbla,verb,
5275,895,,militant,adjective,
5276,895,,sammantaget,adverb,
5277,895,en,tillkomst,noun-en,
5278,894,en,incident,noun-en,
5279,894,,intill,adverb,
5280,894,,underrättelse,noun-en,
5281,893,att,redigera,verb,
5282,893,,stadigt,adverb,
5283,892,att,baka,verb,
5284,892,,gud,interj,
5285,892,,herregud,interj,
5286,,en,observatör,noun-en,
5287,891,,facit,noun,
5288,891,en,gruva,noun-en,
5289,891,,obekväm,adjective,
5290,890,,fossil,adjective,
5291,890,en,verkning,noun-en,
5292,889,att,kompromissa,verb,
5293,889,en,konspirationsteori,noun-en,
5294,889,en,nacke,noun-en,
5295,889,att,svälja,verb,
5296,889,att,tillstyrka,verb,
5297,888,,rättfärdighet,noun-en,
5298,,en,adressat,noun-en,
5299,887,ett,frågetecken,noun-ett,
5300,887,en,image,noun-en,
5301,887,en,njutning,noun-en,
5302,887,,utmärkt,adverb,
5303,886,,isländsk,adjective,
5304,886,att,skörda,verb,
5305,886,att,såga,verb,
5306,886,en,sökmotor,noun-en,
5307,885,,drastiskt,adverb,
5308,885,,dyrbar,adjective,
5309,885,att,haka,verb,e.g. haka av/fast/på
5310,885,att,knacka,verb,
5311,885,,offentlighet,noun-en,
5312,885,,sekretess,noun-en,
5313,885,att,utkomma,verb,
5314,884,en,indelning,noun-en,
5315,884,,utomordentligt,adverb,
5316,883,,olympisk,adjective,
5317,883,att,skryta,verb,
5318,882,att,ankomma,verb,
5319,882,ett,index,noun-ett,
5320,882,,umgänge,noun-ett,
5321,,,välsignad,adjective,
5322,881,att,avsky,verb,
5323,881,att,förmoda,verb,
5324,881,en,lyx,noun-en,
5325,880,ett,skåp,noun-ett,
5326,880,en,svamp,noun-en,
5327,880,ett,uppehåll,noun-ett,
5328,879,,inbördes,adjective,
5329,879,en,indikation,noun-en,
5330,879,,jämlik,adjective,
5331,879,en,staty,noun-en,
5332,879,ett,uppförande,noun-ett,
5333,879,,överensstämmelse,noun-en,
5334,878,,i grund och botten,adverb,
5335,878,en,puss,noun-en,
5336,878,en,spricka,noun-en,
5337,877,,kemikalier,noun,(plural)
5338,877,,konkurrenskraftig,adjective,
5339,877,,tankegång,noun-en,
5340,876,en,supporter,noun-en,
5341,876,,symbolisk,adjective,
5342,875,ett,mervärde,noun-ett,
5343,875,,midsommar,noun-en,
5344,875,en,misstro,noun-en,
5345,874,en,fälla,noun-en,
5346,873,,blues,noun-en,
5347,873,en,jury,noun-en,
5348,873,en,kör,noun-en,
5349,873,,lyckligtvis,adverb,
5350,872,,jordisk,adjective,
5351,872,att,pumpa,verb,
5352,871,en,harmoni,noun-en,
5353,871,en,trea,noun-en,
5354,870,en,avvägning,noun-en,
5355,869,,markant,adverb,
5356,869,att,slopa,verb,
5357,869,,stål,noun-ett,
5358,869,,vinning,noun-en,
5359,868,,främlingsfientlig,adjective,
5360,868,en,mössa,noun-en,
5361,868,en,riksdagsman,noun-en,
5362,868,,runtom,adverb,
5363,868,ett,skikt,noun-ett,
5364,867,,avsevärd,adjective,
5365,867,att,avvakta,verb,
5366,867,en,dimma,noun-en,
5367,867,en,förundersökning,noun-en,
5368,867,,huvudvärk,noun-en,
5369,867,,ohälsa,noun-en,
5370,867,att,praktisera,verb,
5371,867,att,rusta,verb,
5372,867,en,subvention,noun-en,
5373,,att,prisa,verb,
5374,866,,odemokratisk,adjective,
5375,866,att,trilla,verb,
5376,866,,valfri,adjective,
5377,,en,mina,noun-en,
5378,,en,ände,noun-en,
5379,865,en,hyresrätt,noun-en,
5380,865,,härom,adverb,
5381,865,en,låga,noun-en,
5382,865,,vital,adjective,
5383,864,en,damm,noun-en,
5384,864,,giftig,adjective,
5385,864,en,pizza,noun-en,
5386,864,,shopping,noun-en,
5387,,att,färga,verb,
5388,863,en,brygga,noun-en,
5389,863,en,kyckling,noun-en,
5390,863,ett,löv,noun-ett,
5391,863,en,specialist,noun-en,
5392,862,att,handlägga,verb,
5393,862,ett,hyckleri,noun-ett,
5394,862,ett,kännetecken,noun-ett,
5395,862,,överklass,noun-en,
5396,,,drivande,adjective,
5397,861,ett,arbetssätt,noun-ett,
5398,861,en,hora,noun-en,(stötande)
5399,861,ett,nobelpris,noun-ett,
5400,860,en,enkelhet,noun-en,
5401,860,en,förpliktelse,noun-en,
5402,860,ett,larm,noun-ett,
5403,860,en,lättnad,noun-en,
5404,860,en,predikan,noun-en,
5405,859,,ammunition,noun-en,
5406,859,ett,begär,noun-ett,
5407,859,,entydig,adjective,
5408,859,att,missförstå,verb,
5409,859,en,översvämning,noun-en,
5410,,att,matcha,verb,
5411,858,att,korrigera,verb,
5412,857,att,försätta,verb,
5413,856,,frånvarande,adjective,
5414,856,en,inblick,noun-en,e.g. inblick i
5415,856,,ved,noun-en,
5416,855,,mjukvara,noun-en,
5417,855,en,motpart,noun-en,
5418,855,ett,riksdagsparti,noun-ett,
5419,855,,storskalig,adjective,
5420,855,ett,överflöd,noun-ett,
5421,854,en,gröda,noun-en,
5422,854,en,jacka,noun-en,
5423,854,ett,mottagande,noun-ett,
5424,854,en,spårvagn,noun-en,
5425,854,att,återhämta,verb,e.g. återhämta sig
5426,853,att,donera,verb,
5427,853,,sjukpenning,noun-en,
5428,852,ett,bevarande,noun-ett,
5429,852,en,bokhylla,noun-en,
5430,852,en,insida,noun-en,
5431,852,att,överraska,verb,
5432,851,,blöt,adjective,
5433,851,att,relatera,verb,
5434,851,en,underrättelsetjänst,noun-en,
5435,850,en,dynamik,noun-en,
5436,849,en,anmälning,noun-en,
5437,849,en,farhåga,noun-en,
5438,849,ett,rovdjur,noun-ett,
5439,849,en,tillsynsmyndighet,noun-en,
5440,,att,adoptera,verb,
5441,848,att,administrera,verb,
5442,848,,alltihop (vardagl. alltihopa),pronoun,
5443,848,,dramatiskt,adverb,
5444,848,,korkad,adjective,
5445,848,en,marsch,noun-en,
5446,848,en,smäll,noun-en,
5447,847,,less,adjective,(vardagligt)
5448,846,,följande,adjective,
5449,845,en,expedition,noun-en,
5450,845,,heltäckande,adjective,
5451,845,att,konvertera,verb,
5452,844,,i behov av,prep,
5453,844,,katastrofal,adjective,
5454,844,en,näringsidkare,noun-en,
5455,844,,otur,noun-en,
5456,843,en,flygning,noun-en,
5457,843,en,hierarki,noun-en,
5458,843,ett,magasin,noun-ett,
5459,843,,plast,noun-en,
5460,843,,stadig,adjective,
5461,,,krävande,adjective,
5462,,,täckt,adjective,
5463,,att,verifiera,verb,
5464,842,,blek,adjective,
5465,842,,förbjuden,adjective,
5466,842,,förnybar,adjective,
5467,842,en,kyrkogård,noun-en,
5468,842,en,ovilja,noun-en,
5469,841,en,anarkist,noun-en,
5470,841,en,kartläggning,noun-en,
5471,841,att,krympa,verb,
5472,841,en,skål,noun-en,
5473,841,att,underskatta,verb,
5474,840,att,skifta,verb,
5475,840,en,spänn,noun-en,(vardagligt)
5476,839,en,auktion,noun-en,
5477,839,att,halka,verb,
5478,838,en,kista,noun-en,
5479,838,,sex,noun-ett,
5480,837,en,vätska,noun-en,
5481,836,,fascistisk,adjective,
5482,836,en,hiss,noun-en,
5483,836,en,tå,noun-en,
5484,835,en,bestraffning,noun-en,
5485,835,,bokstavligen,adverb,
5486,835,,empirisk,adjective,
5487,835,,felaktigt,adverb,
5488,835,att,konfrontera,verb,
5489,835,,materia,noun-en,
5490,835,,medborgerlig,adjective,
5491,,,övergiven,adjective,
5492,,att,tillfredsställa,verb,
5493,834,en,anmärkning,noun-en,
5494,834,ett,nej,noun-ett,
5495,834,en,skida,noun-en,
5496,833,,förgäves,adverb,
5497,833,,hiv,noun,e.g. obotligt sjuk i hiv
5498,833,en,kabel,noun-en,
5499,833,en,projektledare,noun-en,
5500,833,,strikt,adverb,
5501,832,,damm,noun-ett,
5502,832,en,klinik,noun-en,
5503,832,en,råtta,noun-en,
5504,832,en,strömning,noun-en,
5505,831,att,kandidera,verb,
5506,831,en,revolutionär,noun-en,
5507,831,en,ritning,noun-en,
5508,831,,utmed,prep,
5509,831,en,visdom,noun-en,
5510,,att,uppfostra,verb,
5511,830,en,lagändring,noun-en,
5512,830,,så länge (som),subj,e.g. så länge som jag är frisk
5513,829,ett,kulturarv,noun-ett,
5514,829,,nordlig,adjective,
5515,829,att,plantera,verb,
5516,828,en,chaufför,noun-en,
5517,828,,inuti,prep,
5518,,att,förbruka,verb,
5519,827,en,budgetproposition,noun-en,
5520,827,en,ceremoni,noun-en,
5521,827,,uran,noun-ett,
5522,826,att,aktualisera,verb,
5523,826,en,barnfamilj,noun-en,
5524,826,en,population,noun-en,
5525,826,att,undanröja,verb,
5526,826,en,utväg,noun-en,
5527,825,ett,entreprenörskap,noun-ett,
5528,825,,godtagbar,adjective,
5529,825,en,mardröm,noun-en,
5530,825,en,storebror,noun-en,
5531,824,att,isolera,verb,
5532,824,ett,kalas,noun-ett,
5533,824,,kopiering,noun-en,
5534,824,en,paroll,noun-en,
5535,824,att,shoppa,verb,
5536,824,ett,språkbruk,noun-ett,
5537,823,,diabetes,noun-en,
5538,823,,fortlöpande,adjective,
5539,823,,klädsel,noun-en,
5540,823,,svagt,adverb,
5541,823,ett,ämbete,noun-ett,
5542,822,en,historik,noun-en,
5543,822,ett,intyg,noun-ett,
5544,822,en,konversation,noun-en,
5545,822,en,växel,noun-en,
5546,821,,byråkratisk,adjective,
5547,821,en,etablering,noun-en,
5548,821,,förnuftig,adjective,
5549,821,att,hedra,verb,
5550,821,,omedveten,adjective,
5551,821,,stundtals,adverb,
5552,821,att,tjata,verb,
5553,821,,tjeckisk,adjective,
5554,821,,åtanke,noun-en,e.g. i åtanke
5555,,,fördelaktig,adjective,
5556,820,en,assistent,noun-en,
5557,820,,läskig,adjective,
5558,820,,nationalekonomi,noun-en,
5559,820,att,återfå,verb,
5560,820,,övernaturlig,adjective,
5561,819,,elektricitet,noun-en,
5562,819,,grovt,adverb,
5563,819,,javisst (el. ja visst),interj,
5564,,att,beskylla,verb,
5565,,,obegränsad,adjective,
5566,818,en,anordning,noun-en,
5567,818,en,fluga,noun-en,
5568,818,ett,förråd,noun-ett,
5569,818,att,spänna,verb,
5570,,,oönskad,adjective,
5571,817,att,marschera,verb,
5572,817,en,päls,noun-en,
5573,817,,till vara,adverb,
5574,816,en,slant,noun-en,
5575,816,ett,upprättande,noun-ett,
5576,816,att,överdriva,verb,
5577,,att,reparera,verb,
5578,815,en,central,noun-en,
5579,815,en,erövring,noun-en,
5580,815,en,justering,noun-en,
5581,815,,nedanstående,adjective,
5582,815,att,propagera,verb,
5583,815,en,talesman,noun-en,
5584,815,ett,uppträdande,noun-ett,
5585,814,en,tandläkare,noun-en,
5586,814,ett,utförande,noun-ett,
5587,814,en,utgivare,noun-en,
5588,,,underordnad,adjective,
5589,812,en,explosion,noun-en,
5590,812,en,fraktion,noun-en,
5591,812,att,renovera,verb,
5592,812,,snyggt,adverb,
5593,811,att,beröva,verb,
5594,811,en,japan,noun-en,
5595,811,en,omvandling,noun-en,
5596,811,en,tillåtelse,noun-en,
5597,811,,vidrig,adjective,
5598,810,,förmögen,adjective,
5599,810,,nedanför,prep,
5600,810,,oförmögen,adjective,
5601,810,att,slösa,verb,
5602,809,,arbetsmarknadspolitik,noun-en,
5603,809,,inkomstskatt,noun-en,
5604,809,att,skämta,verb,
5605,809,att,underrätta,verb,
5606,809,,världslig,adjective,
5607,808,en,cigarett,noun-en,
5608,808,,hälsosam,adjective,
5609,808,en,skalle,noun-en,
5610,,ett,spädbarn,noun-ett,
5611,807,ett,domslut,noun-ett,
5612,807,att,dyrka,verb,
5613,807,en,utmärkelse,noun-en,
5614,806,en,katalog,noun-en,
5615,,ett,bredband,noun-ett,
5616,,,kemi,noun,
